1403636580.813555 -0.010760 0.014840 -0.163372 0.841775 0.045771 0.536183 -0.042758
1403636580.913555 -0.003623 0.016021 -0.085323 0.833273 0.051678 0.548985 -0.040007
1403636581.013556 0.001278 0.017309 -0.010095 0.823551 0.066885 0.560281 -0.058105
1403636581.113555 0.007464 0.017703 0.054984 0.817335 0.065857 0.569005 -0.062135
1403636581.213556 0.012552 0.016502 0.109456 0.809957 0.058709 0.580126 -0.063063
1403636581.313555 0.015112 0.014490 0.148503 0.801629 0.055912 0.591680 -0.064643
1403636581.413555 0.015592 0.010826 0.157044 0.799271 0.057884 0.594612 -0.065206
1403636581.513556 0.014219 0.008008 0.131090 0.804021 0.062213 0.588169 -0.061129
1403636581.613555 0.009391 0.007332 0.080739 0.809922 0.060256 0.580382 -0.059603
1403636581.713556 0.005831 0.005428 0.018393 0.814122 0.060058 0.574629 -0.058309
1403636581.813555 -0.002154 0.005625 -0.046130 0.813530 0.056084 0.576456 -0.052174
1403636581.913555 -0.010237 0.005507 -0.111573 0.811130 0.057267 0.579190 -0.057679
1403636582.013556 -0.012907 0.004909 -0.174336 0.818838 0.060227 0.567053 -0.065790
1403636582.113555 -0.017024 0.006906 -0.222672 0.828706 0.062206 0.552573 -0.063564
1403636582.213556 -0.020547 0.011276 -0.247133 0.835509 0.070890 0.539919 -0.073401
1403636582.313555 -0.019986 0.014417 -0.237271 0.837867 0.073630 0.535510 -0.076073
1403636582.413555 -0.018808 0.017217 -0.194492 0.833455 0.073095 0.542082 -0.078468
1403636582.513556 -0.016018 0.017880 -0.135041 0.825386 0.072749 0.554414 -0.077914
1403636582.613555 -0.013458 0.016963 -0.069212 0.820879 0.074835 0.560869 -0.077349
1403636582.713556 -0.011021 0.013666 -0.002805 0.818735 0.071057 0.564939 -0.073946
1403636582.813555 -0.005719 0.009077 0.061784 0.815045 0.062862 0.571488 -0.071776
1403636582.913555 -0.001350 0.003767 0.123350 0.807495 0.051892 0.583669 -0.067749
1403636583.013556 -0.001164 -0.000791 0.170077 0.797653 0.047464 0.597644 -0.065714
1403636583.113555 -0.002147 -0.003245 0.188520 0.792879 0.046580 0.604469 -0.061572
1403636583.213556 -0.002175 -0.005843 0.174153 0.793171 0.049496 0.604148 -0.058614
1403636583.313555 -0.001902 -0.004772 0.134617 0.794786 0.050346 0.602090 -0.057167
1403636583.413555 -0.001333 -0.005684 0.076592 0.796530 0.053497 0.599082 -0.061475
1403636583.513556 -0.001955 -0.007504 0.011294 0.798879 0.060065 0.594887 -0.065528
1403636583.613555 -0.002437 -0.009126 -0.058139 0.803506 0.065159 0.588078 -0.065541
1403636583.713556 -0.005376 -0.007411 -0.126316 0.814693 0.065312 0.571776 -0.071283
1403636583.813555 -0.009516 -0.007732 -0.184756 0.826734 0.064218 0.553612 -0.076820
1403636583.913555 -0.013803 -0.007061 -0.231268 0.833452 0.067803 0.543326 -0.074547
1403636584.013556 -0.018688 -0.005166 -0.258628 0.835041 0.075704 0.539606 -0.076158
